id,gender,age,hypertension,heart_disease,ever_married,work_type,Residence_type,avg_glucose_level,bmi,smoking_status,Country,dob,full_name,ssn
55223,Female,15,0,0,No,children,Rural,128.82,28.4,formerly smoked,US,2004-02-26,Vanessa Smith,972624459
42974,Female,13,0,0,No,children,Rural,147.95,18.7,formerly smoked,US,2005-10-12,Evangelina Minjares,210121168
51133,Female,7,0,0,No,children,Urban,78.88,20.9,,US,2012-04-14,Lindsey Mrotek,360683131
16974,Male,63,0,0,Yes,Self-employed,Rural,84.02,26.7,smokes,US,1956-07-30,Sheldon Shofner,580872644
27813,Female,29,0,0,Yes,Private,Rural,116.33,33.5,never smoked,US,1989-12-08,William Mccall,476014511
65408,Female,36,0,0,Yes,Private,Rural,97.92,44.7,,US,1983-04-28,William Gralak,739259550
67455,Female,70,0,1,Yes,Self-employed,Rural,132.56,33.7,smokes,US,1949-03-16,Patricia Howard,522837592
4577,Female,39,0,0,No,Private,Rural,105.36,25.3,,US,1980-09-18,Deb Siegrist,536819295
55641,Female,36,0,0,Yes,Private,Urban,116.69,27.8,never smoked,US,1982-12-22,Clifford Welton,428758513
54834,Female,9,0,0,No,Self-employed,Rural,80.63,24.8,,US,2010-01-30,Kevin Goodwin,804056624
9699,Female,27,0,0,Yes,Private,Rural,65.85,21.6,never smoked,US,1992-01-11,Arthur Gile,900503301
61811,Male,51,0,0,Yes,Private,Urban,192.53,33.7,formerly smoked,US,1968-04-21,Sherry Schultz,525689440
63620,Male,17,0,0,No,Private,Urban,58.17,20.3,,US,2002-09-21,Ami Lampl,846316992
18723,Male,55,1,0,Yes,Private,Rural,93.61,37.6,never smoked,US,1964-07-15,Robert Perry,905874288
48538,Female,50,0,0,Yes,Private,Urban,62.69,21.5,formerly smoked,US,1969-10-03,Thomas Neal,869775832
45891,Female,33,0,0,Yes,Private,Urban,58.87,23.1,smokes,US,1985-11-12,David Flynn,865224712
42487,Female,63,0,0,Yes,Private,Rural,133.7,26.3,never smoked,US,1956-06-23,Jean Powers,987676198
45698,Female,71,0,0,Yes,Govt_job,Urban,173.02,29.2,formerly smoked,US,1948-01-31,Kelly Momeni,436768449
24263,Female,46,0,0,Yes,Govt_job,Rural,105.92,42.9,never smoked,US,1972-10-22,Carrie Quarles,857329676
41707,Male,60,0,0,Yes,Private,Urban,108.39,30.9,never smoked,US,1959-04-17,Tiffany Cerda,763930332
71360,Male,46,0,0,Yes,Private,Rural,57.23,32.6,never smoked,US,1973-06-06,Vicky Hill,009761114
38487,Female,52,0,0,Yes,Private,Urban,161.13,31.4,formerly smoked,US,1967-06-11,Gretchen Ford,584935236
56093,Male,6,0,0,No,children,Rural,68.8,19.1,,US,2013-03-20,Rebecca Douglas,367766353
56207,Female,48,1,0,Yes,Private,Rural,100.65,27.8,smokes,US,1971-03-09,Jerry Copeland,679420963
68130,Female,49,0,0,No,Private,Rural,112.66,39.9,,US,1970-06-07,Rebecca Fields,375438059
60780,Male,17,0,0,No,Private,Rural,77.1,23.4,smokes,US,2002-07-04,Jeri Skeels,265465592
22130,Female,43,0,0,Yes,Private,Rural,85.6,21.7,,US,1976-10-06,Danelle Belknap,608206928
63352,Male,23,0,0,No,Private,Rural,96.72,27.6,never smoked,US,1996-04-09,Natalie Steinbach,225580498
71720,Male,42,0,0,No,Private,Rural,114.15,29.1,never smoked,US,1977-08-02,Justin Johns,001486738
17183,Male,44,0,0,Yes,Private,Rural,94.35,29.6,,US,1975-05-31,Earl Samson,974039121
60719,Female,43,0,0,Yes,Govt_job,Rural,63.72,29.1,never smoked,US,1976-08-02,Tonya Mercado,060981260
43983,Female,37,0,0,Yes,Private,Rural,73.24,33.6,never smoked,US,1982-03-02,Estelle Mills,214134238
21744,Female,36,0,0,Yes,Self-employed,Urban,74.77,37.2,smokes,US,1983-05-27,Larry Wasmer,718057753
16560,Male,16,0,0,No,Private,Urban,86.07,21.6,,US,2003-07-27,Daniel Nethercutt,335491253
39376,Female,20,0,0,No,Private,Urban,81.88,24.9,never smoked,US,1999-07-31,Elizabeth Irby,557423231
49579,Female,37,0,0,Yes,Private,Urban,128.89,26.9,never smoked,US,1982-01-10,William Cox,358605126
9371,Female,63,0,1,Yes,Govt_job,Urban,232.57,,never smoked,US,1956-10-07,Rachel Flowers,409365386
28064,Female,18,0,0,No,Private,Urban,109.72,24.9,never smoked,US,2001-05-25,William Ayala,958564515
8502,Female,53,0,0,Yes,Govt_job,Rural,98.26,21.4,never smoked,US,1966-03-25,Janet Nolan,502311839
48035,Female,31,0,0,Yes,Private,Rural,116.48,31.9,smokes,US,1988-10-03,Jo Ramsey,542597665
71493,Female,73,0,0,Yes,Private,Urban,91.55,37.6,formerly smoked,US,1946-07-03,Dawn Alvardo,693930814
65537,Male,41,0,0,No,Private,Urban,166.33,24.1,,US,1978-05-17,Anthony Medellin,671630074
5028,Female,69,0,0,Yes,Private,Urban,96.45,37.5,never smoked,US,1950-08-13,Joshua Solomon,915374207
39532,Male,42,1,0,Yes,Private,Rural,82.89,43,never smoked,US,1977-05-18,Margaret Guzman,457326346
58889,Male,29,0,0,No,Private,Rural,66.11,25.1,smokes,US,1990-06-18,Karen Rowland,089268632
60944,Female,23,0,0,No,Private,Urban,158.42,32.9,formerly smoked,US,1996-01-07,David Wenrich,266048669
47413,Male,17,0,0,No,Private,Rural,144.55,25.1,never smoked,US,2002-01-05,Carrie Leray,642937285
23076,Female,14,0,0,No,children,Urban,113.07,19.2,,US,2004-10-18,George Lazaroff,502880450
28829,Male,34,0,0,Yes,Govt_job,Rural,108.97,25.3,never smoked,US,1985-01-31,Erica Weir,653999310
10786,Female,61,0,0,Yes,Private,Urban,85.44,45.4,formerly smoked,US,1958-09-22,Adrienne Cruz,490401783
21198,Female,36,0,0,Yes,Private,Rural,103.14,26,never smoked,US,1983-08-07,Anthony Hammonds,117544627
49596,Male,61,0,1,Yes,Private,Urban,87.64,26.2,,US,1958-07-26,Frank Cobb,549378168
61880,Female,14,0,0,No,Private,Urban,121.38,28.3,,US,2005-04-23,George Williams,836067626
58534,Female,68,1,0,Yes,Self-employed,Urban,205.02,33.8,never smoked,US,1951-07-17,Mary Key,266935638
44724,Male,73,1,0,Yes,Private,Rural,190.49,28.6,formerly smoked,US,1946-05-10,Robert Standifer,779275608
23197,Female,0.16,0,0,No,children,Rural,91.33,17,,US,2019-08-02,Zachary Merideth,685623281
72667,Female,11,0,0,No,children,Urban,58.93,20,,US,2008-01-21,Kathryn Hixson,317134392
34445,Male,52,0,0,Yes,Govt_job,Urban,250.31,32.5,never smoked,US,1967-02-03,William Cranford,738286528
40800,Male,60,0,0,Yes,Private,Urban,174.93,28.6,,US,1959-01-03,Alice Washington,014445838
39624,Female,26,0,0,No,Private,Urban,185.45,29.1,smokes,US,1993-09-08,Troy Mckinney,024093847
28999,Male,52,0,0,Yes,Private,Rural,114.67,27.5,,US,1967-03-17,David Holsinger,848613389
15970,Female,57,1,1,Yes,Private,Rural,92.01,43.5,,US,1961-10-30,Robert Mavai,075755677
67001,Male,11,0,0,No,Private,Urban,115.29,25.9,,US,2008-06-18,David Robert,828964052
22059,Male,30,0,0,No,Private,Rural,86.53,25.1,never smoked,US,1989-06-18,Alfred Becker,130985073
63097,Female,53,0,0,Yes,Private,Urban,203.19,35.9,never smoked,US,1966-05-25,Genoveva Hill,761410612
43552,Female,6,0,0,No,children,Rural,88.52,18.2,,US,2013-01-21,Melody Shady,923959532
42932,Female,31,0,0,Yes,Self-employed,Rural,90.49,26.8,never smoked,US,1988-02-08,Agnes Torgersen,566435555
8275,Female,36,0,0,Yes,Private,Rural,78.83,42.6,formerly smoked,US,1983-08-30,Rubin Bales,621583723
8268,Female,78,1,0,Yes,Self-employed,Rural,116.29,29,never smoked,US,1940-11-27,Joanne Ayala,341139094
68976,Male,40,0,0,No,Self-employed,Urban,160.56,37.8,smokes,US,1979-09-02,Brian Chapin,605933955
59824,Female,59,0,0,Yes,Private,Rural,83.41,20.5,formerly smoked,US,1960-09-19,James Keister,328512060
38163,Female,16,0,0,No,Private,Urban,108.28,27.6,never smoked,US,2003-05-07,Bernita Kenny,192137886
45895,Male,49,0,0,Yes,Private,Urban,91.16,26.4,never smoked,US,1970-09-23,Emilia Estimable,157546320
35842,Male,21,0,0,No,Private,Urban,83.19,29.4,never smoked,US,1998-08-14,Stephanie Fincham,164232437
64826,Male,5,0,0,No,children,Urban,67.62,16.6,,US,2014-04-08,Leah Samuelson,915550663
56756,Female,16,0,0,No,Govt_job,Urban,65.29,23.7,never smoked,US,2003-07-05,Jeffery Bridges,042021364
33798,Female,55,0,0,Yes,Private,Rural,112.94,22.3,never smoked,US,1964-09-22,Harry French,192599559
22149,Male,53,0,0,Yes,Private,Urban,91.15,30.8,smokes,US,1966-06-09,Angela Fisher,167562825
50501,Male,37,0,0,Yes,Private,Rural,124.8,22.3,smokes,US,1982-10-03,Bernarda Vega,961971596
17068,Male,18,0,0,No,Private,Rural,115.71,19.5,,US,2001-06-03,Jeremy Anderson,686589423
16498,Female,4,0,0,No,children,Urban,111.03,17.8,,US,2015-09-25,Frances Diamond,801368276
67306,Male,36,0,0,Yes,Private,Rural,56.49,26.2,,US,1983-06-27,Gertrude Irish,921912738
39408,Female,57,0,0,Yes,Self-employed,Urban,77.68,27.5,never smoked,US,1962-01-18,Debra Watkins,091183638
20820,Male,24,0,0,Yes,Private,Rural,87.01,25,never smoked,US,1995-05-29,Helena Kitchin,360946414
50056,Female,77,0,0,Yes,Govt_job,Rural,82.68,26,formerly smoked,US,1941-12-05,Helen Matton,601135322
67148,Male,35,0,0,Yes,Private,Urban,100.99,30.8,smokes,US,1984-01-20,Jennifer Gould,358643688
42800,Female,6,0,0,No,children,Rural,113.55,19.4,,US,2013-09-11,Patricia Zavala,916204656
41777,Female,67,1,0,Yes,Self-employed,Rural,87.2,30,never smoked,US,1952-09-25,Florence Miller,847702451
38995,Female,30,0,0,Yes,Private,Urban,113.59,22.7,never smoked,US,1989-08-15,John Cruz,954971022
34695,Female,21,0,0,No,Private,Rural,83.06,20.1,never smoked,US,1998-03-12,Paula Giardina,144285073
65778,Male,43,0,0,Yes,Govt_job,Urban,62.32,31,,US,1975-10-18,Rachelle Perry,395759032
58836,Male,24,0,0,No,Private,Rural,72.65,24.8,never smoked,US,1995-03-30,Gerald Taylor,204474450
16182,Female,52,0,0,No,Private,Rural,68.76,32.9,never smoked,US,1967-08-27,William Jackson,306526785
7579,Female,59,0,0,Yes,Private,Rural,93.52,26.1,,US,1960-02-19,Melba Burke,648268953
52338,Female,15,0,0,No,children,Urban,91.74,18.4,never smoked,US,2004-07-06,Brian Norris,791830588
65653,Female,70,0,0,Yes,Govt_job,Rural,61.65,25.7,never smoked,US,1949-06-02,Jeremy Ness,817578293
2203,Female,39,0,0,Yes,Private,Urban,75.1,28.3,never smoked,US,1980-08-22,Robert Green,340768971
65595,Female,39,0,0,Yes,Private,Urban,188.17,12.8,never smoked,US,1980-01-06,Tanisha Cruz,128155263
39545,Female,75,1,0,Yes,Self-employed,Urban,72.3,31.8,,US,1943-12-28,Glenda Hill,967360227
12813,Female,29,0,0,No,Govt_job,Urban,72.86,30.8,never smoked,US,1989-10-30,Esther Cruz,193562107
21091,Male,53,0,0,Yes,Private,Rural,98.88,35,,US,1966-09-14,Kenneth Boyer,278394032
1477,Female,79,0,0,Yes,Private,Urban,87.45,29.9,,US,1940-03-10,Penny Domingues,509587572
26173,Female,17,0,0,No,Private,Urban,101.99,23.8,never smoked,US,2002-08-25,Brent Conner,015792500
39791,Female,67,0,1,Yes,Self-employed,Rural,78.81,33.6,formerly smoked,US,1952-08-05,Wanda King,530974612
46915,Female,28,0,0,Yes,Private,Rural,89.56,23.3,never smoked,US,1990-10-27,Robert Malmin,984171843
67454,Male,23,0,0,No,Private,Urban,80.45,23.8,never smoked,US,1996-02-09,Mildred Stowe,869819622
70583,Female,14,0,0,No,Private,Urban,132.85,25.4,never smoked,US,2005-06-16,Nicole Hansen,482523329
51844,Male,47,0,0,Yes,Private,Rural,122.06,21.7,never smoked,US,1971-10-28,Caroline Lyles,049842646
14963,Female,67,0,0,Yes,Self-employed,Rural,85.21,31.7,smokes,US,1952-02-08,Pamela Smith,283363250
3413,Female,50,0,0,Yes,Private,Urban,74.52,38.5,formerly smoked,US,1968-11-07,Jeffrey Sobers,672884111
9991,Female,63,0,0,Yes,Govt_job,Urban,74.95,31.1,smokes,US,1956-03-24,Mary Fleming,764537989
67876,Female,60,0,0,Yes,Self-employed,Urban,57.81,32.4,,US,1959-04-22,Nanci Brooks,434105566
9844,Female,73,1,0,Yes,Govt_job,Urban,197.79,27.3,,US,1946-07-30,Georgann Batista,989640038
54687,Male,54,0,0,Yes,Private,Urban,60.67,30.3,formerly smoked,US,1965-07-25,Rosana Lucas,969186101
22349,Female,48,0,0,Yes,Private,Urban,115.23,30.8,smokes,US,1971-09-17,Sharon Morgan,426135776
843,Female,75,1,0,No,Private,Urban,169.34,,,US,1944-03-14,Ellen Cousins,151449694
44512,Male,67,0,0,Yes,Private,Urban,135.88,30.8,formerly smoked,US,1952-06-26,Eric Streller,033908635
65240,Male,2,0,0,No,children,Rural,109.61,15.1,,US,2017-07-25,Tammy Jackson,321983743
10959,Male,44,0,0,Yes,Private,Rural,123.76,29.3,never smoked,US,1975-01-25,Mark Dunbar,202233148
5519,Female,71,0,0,Yes,Private,Urban,80.85,32.3,never smoked,US,1948-06-03,Jerry Jones,768393110
57956,Female,81,0,0,Yes,Private,Rural,80.07,29.5,never smoked,US,1938-09-23,Maria Kanter,368202812
59156,Female,59,0,0,Yes,Private,Rural,85.03,42.4,never smoked,US,1960-06-15,Becky Watkins,479291307
2774,Male,57,0,0,Yes,Private,Rural,94,21.7,smokes,US,1961-11-30,Ellen Phillips,385394824
32087,Female,63,0,0,Yes,Private,Rural,107.28,38.2,,US,1956-08-17,Mary Pugh,487056820
43354,Female,82,1,0,Yes,Private,Urban,74.24,31.4,,US,1937-10-11,Natalie Neal,548797611
18646,Male,18,0,0,No,Private,Rural,91.59,21.5,never smoked,US,2001-05-30,Jose Gruber,667573456
56977,Female,28,0,0,Yes,Private,Urban,123.6,32.8,formerly smoked,US,1991-01-13,Neal Spiney,089865111
44941,Female,57,0,0,Yes,Private,Rural,59.09,37.4,formerly smoked,US,1962-03-02,David West,181637558
69886,Male,22,1,0,No,Private,Urban,86.83,24.2,smokes,US,1997-06-03,Fran Hall,387686667
69927,Female,7,0,0,No,children,Rural,125.72,18,,US,2012-09-14,Maria Gutierrez,500174806
14818,Female,43,0,0,Yes,Private,Urban,92.29,22.5,never smoked,US,1975-11-09,Teresa Weaver,709465281
56749,Female,18,0,0,No,Private,Urban,73.7,32.6,,US,2000-11-30,Frank Johannsen,149270792
56821,Female,0.88,0,0,No,children,Urban,69.81,24.3,,US,2018-10-17,Bernadette Stinebaugh,352614628
38253,Male,40,1,0,Yes,Govt_job,Rural,78.52,28,,US,1978-11-23,Gary Carlisle,833939550
21323,Female,7,0,0,No,children,Rural,75.78,30.9,,US,2011-12-25,Mitzi Santos,703008245
53178,Female,8,0,0,No,children,Rural,55.94,17.5,,US,2011-01-28,Albert Mcclean,284746388
35466,Female,47,0,0,Yes,Private,Urban,97.99,25.6,smokes,US,1972-03-21,John Willoughby,101344908
34698,Male,0.88,0,0,No,children,Rural,103.1,18.5,,US,2018-10-27,Douglas Villanvera,708812108
31815,Male,0.64,0,0,No,children,Urban,68.57,18.7,,US,2019-04-27,Helen Perkins,858613307
27194,Male,52,0,0,Yes,Private,Rural,194.23,31.2,never smoked,US,1966-11-22,Leticia Healy,123095294
15380,Male,41,0,0,Yes,Govt_job,Urban,82.81,36.2,,US,1978-06-17,Fernando Ault,823319292
8155,Female,68,0,0,Yes,Govt_job,Urban,79.81,35.2,never smoked,US,1951-03-03,Maria Guerrero,494719926
42908,Male,79,0,0,Yes,Self-employed,Rural,108.2,29.2,formerly smoked,US,1940-02-29,Barbara Jimenez,310996353
30912,Female,70,0,0,Yes,Private,Urban,85.2,25.7,smokes,US,1949-02-10,Mark Chaney,677602290
35146,Female,27,0,0,No,Govt_job,Rural,111.59,21.2,never smoked,US,1992-09-02,Angeline Encinas,219467125
58210,Female,79,0,0,Yes,Private,Urban,84.06,37.3,never smoked,US,1939-10-28,Kyle Hunt,747065383
33549,Female,53,0,1,Yes,Private,Urban,96.13,31.6,smokes,US,1966-03-24,Tracy Pierce,651984070
2276,Female,15,0,0,No,Private,Rural,92.48,38.2,never smoked,US,2004-08-26,Pamela Winegarden,315041651
20231,Female,35,0,0,No,Private,Urban,92.32,26.3,,US,1983-10-20,Daniel Oneal,730724192
47388,Female,17,0,0,No,Private,Urban,60.35,23.6,never smoked,US,2002-04-02,John Raminez,273106714
67866,Female,81,0,0,Yes,Private,Rural,251.59,28.6,,US,1937-11-11,Tiffany Atkinson,988912806
58108,Female,51,0,0,Yes,Private,Rural,87.49,30,,US,1968-01-27,Maria Morrill,081215098
33306,Male,19,0,0,No,Private,Urban,104.86,38.2,,US,2000-01-31,William Rea,238993124
68765,Female,76,0,0,No,Self-employed,Rural,67.7,24,formerly smoked,US,1943-08-05,Kyle Fitzgerald,699881771
45271,Male,72,0,1,Yes,Self-employed,Urban,56.6,,never smoked,US,1946-12-09,Gertrude Pearson,135837988
23875,Female,39,0,0,No,Private,Urban,86.17,29.5,smokes,US,1980-01-06,William Cupp,792383503
34632,Female,41,0,0,Yes,Govt_job,Rural,85.93,25.1,,US,1977-12-09,Maria Ouellette,902501827
49767,Female,57,0,0,Yes,Private,Urban,69.86,24.4,smokes,US,1962-01-15,Linda Anderson,560413314
64169,Female,47,0,0,Yes,Govt_job,Urban,57.82,31.6,never smoked,US,1972-02-20,Barbara Shin,338510895
71937,Male,64,0,0,Yes,Private,Rural,56.96,26.7,never smoked,US,1955-02-15,Elizabeth Yamada,723518351
61564,Female,63,0,0,Yes,Private,Rural,94.48,36.9,formerly smoked,US,1956-03-21,Jennifer Kopecky,431168640
68553,Male,73,0,0,Yes,Self-employed,Urban,230.42,,formerly smoked,US,1945-11-17,Paul Hagle,145173282
21404,Female,12,0,0,No,children,Rural,77.97,20.8,,US,2007-09-25,Judy Ferrin,863114080
49781,Female,56,1,0,Yes,Govt_job,Urban,117.13,41.9,never smoked,US,1963-02-08,Sue Pepper,037394476
25481,Male,32,0,0,No,Private,Rural,94.39,32.5,never smoked,US,1987-09-23,Todd Bustamante,386627599
7073,Male,45,0,0,Yes,Private,Urban,69.22,34.3,never smoked,US,1973-12-21,Katherine Roberts,611777973
61491,Male,75,0,0,Yes,Private,Rural,84.93,34.7,formerly smoked,US,1944-09-02,Betty Brazil,327530693
25847,Female,29,0,0,Yes,Private,Rural,95.89,27.9,never smoked,US,1990-08-23,Justin Hunt,061041737
71761,Male,29,0,0,No,Private,Urban,102.63,25.1,never smoked,US,1990-08-03,Joanne Romero,311512562
58606,Male,51,1,0,Yes,Govt_job,Rural,217,39.4,formerly smoked,US,1968-09-21,Ethel Chaffin,488855235
68786,Male,59,0,0,Yes,Govt_job,Rural,79.5,25.2,,US,1959-11-22,Fredric Smith,370112952
37325,Male,52,0,0,Yes,Self-employed,Urban,148.45,26,never smoked,US,1967-08-18,John Willey,266853829
27430,Female,52,0,0,Yes,Private,Urban,79.43,25,never smoked,US,1967-08-16,Holly Marrs,518009206
61231,Male,13,0,0,No,children,Urban,107.03,19.2,,US,2006-08-23,Sharon Mcgowan,307255622
65733,Female,69,1,1,Yes,Private,Urban,70.04,53.7,never smoked,US,1949-12-23,Jacqueline Branch,257044678
48960,Female,72,0,0,Yes,Self-employed,Urban,84.61,23.5,formerly smoked,US,1947-07-25,Mario Bain,190382136
40193,Female,26,0,0,Yes,Private,Rural,150.51,20.5,never smoked,US,1993-09-06,Daniel Mcdonald,437712437
43723,Male,40,0,0,Yes,Private,Urban,171.87,31.2,formerly smoked,US,1979-04-16,Jennifer Pearce,110650260
35411,Male,66,0,0,Yes,Govt_job,Rural,111.77,48.7,never smoked,US,1953-04-20,Howard Ford,215111608
21868,Male,58,0,0,Yes,Govt_job,Urban,98.94,24.1,formerly smoked,US,1961-05-23,Marie Denton,037952949
15830,Female,24,0,0,Yes,Private,Urban,110.16,21.7,never smoked,US,1995-09-19,John Ward,108790544
22011,Male,51,0,0,Yes,Self-employed,Rural,71.91,29.1,never smoked,US,1968-02-18,Gina Pratka,131842434
42952,Female,49,0,0,Yes,Private,Rural,168.4,,formerly smoked,US,1970-07-29,Ralph Atkinson,213214987
13210,Female,55,0,0,No,Private,Urban,120.92,30.9,never smoked,US,1964-04-30,Anthony Chantler,869809368
38645,Male,55,1,0,Yes,Private,Rural,123.41,37,never smoked,US,1964-06-15,Glen Kirwan,755916265
65174,Female,5,0,0,No,children,Rural,123.34,19.7,,US,2013-11-01,David Stites,538022680
66314,Female,55,0,0,Yes,Private,Rural,121.03,31.2,smokes,US,1964-05-12,Sandra Snodgrass,616785573
38083,Female,55,0,0,Yes,Self-employed,Urban,133.78,23.1,formerly smoked,US,1964-08-21,Rory Westphal,633983437
13070,Female,25,0,0,No,Govt_job,Urban,74.12,25,smokes,US,1994-07-01,Dennis Soto,753062571
39348,Female,46,0,0,Yes,Govt_job,Rural,77.87,26.9,smokes,US,1972-10-18,Michael Williams,400756649
7075,Male,24,0,0,No,Private,Rural,91.39,22.3,smokes,US,1995-03-19,Michael White,526592650
7840,Male,55,0,0,Yes,Govt_job,Urban,89.27,,smokes,US,1964-05-08,Clorinda White,195891929
22798,Female,42,0,0,Yes,Private,Rural,107.93,25.2,,US,1977-05-19,Elizabeth Robinson,048293202
43842,Male,62,0,0,Yes,Private,Rural,120.75,43.7,never smoked,US,1957-01-20,Joan Harrison,274137641
15430,Male,82,0,0,No,Private,Urban,110.14,22.7,never smoked,US,1937-08-13,Jade Walker,336486245
57754,Male,51,0,0,Yes,Private,Rural,68.43,34.8,formerly smoked,US,1967-11-04,Dana Mason,419984686
4357,Male,76,0,0,Yes,Govt_job,Urban,91.28,,formerly smoked,US,1943-08-03,Carmen Williams,880619753
46428,Female,32,0,0,Yes,Self-employed,Urban,206.82,31,,US,1987-10-13,Tasha Bloom,810520574
51078,Male,20,0,0,No,Private,Urban,56.8,20.5,smokes,US,1999-01-09,James Feldman,226120413
46067,Female,15,0,0,No,Self-employed,Urban,108.25,32,,US,2004-09-01,Shana Suk,244967172
49814,Female,28,0,0,Yes,Private,Rural,107.58,42.2,formerly smoked,US,1991-07-13,Kenneth Kline,020495380
64209,Female,74,0,0,Yes,Self-employed,Rural,221.51,28,formerly smoked,US,1945-06-18,Kelly Zellars,826338183
50389,Female,64,0,0,Yes,Private,Rural,77.09,23.6,never smoked,US,1955-02-20,Herbert Geoghegan,755208692
56153,Female,27,0,0,No,Private,Urban,115.92,22,,US,1992-06-05,Mildred Taylor,170457829
4052,Female,39,0,0,Yes,Private,Rural,75.62,,formerly smoked,US,1979-12-06,Javier Morse,195820593
56582,Female,58,0,0,Yes,Private,Rural,81.58,29.2,smokes,US,1961-04-20,Drew Fabrizio,199757233
27261,Male,72,0,0,Yes,Private,Rural,93.93,36.3,never smoked,US,1947-07-20,Robert Reed,684736764
66015,Female,58,0,0,Yes,Self-employed,Rural,69.15,27.3,never smoked,US,1961-09-22,Karen Escamilla,122305211
46910,Female,32,0,0,Yes,Govt_job,Urban,57.21,43.9,,US,1987-01-16,Micah Davis,849808339
65455,Male,66,0,0,Yes,Govt_job,Urban,86.42,26.4,,US,1953-10-12,Earnest Dooley,753967250
44343,Female,38,0,0,Yes,Private,Rural,197.89,39.5,smokes,US,1981-02-05,Benita Eaton,109636893
30500,Female,66,0,1,Yes,Private,Urban,97.72,30.4,smokes,US,1953-01-21,Mildred Blanchard,017707066
67064,Female,67,0,0,No,Private,Urban,65.22,25.7,never smoked,US,1952-10-13,Kenneth Ward,525479605
45386,Female,1.88,0,0,No,children,Urban,74.75,20.3,,US,2018-04-01,Susan Sherrer,872375073
45407,Male,19,0,0,No,Private,Rural,62.05,33.2,never smoked,US,2000-03-06,William Ament,866124976
